Ticker,Company
AAPL,Apple Inc.
AXP,American Express Inc.
BA,Boeing Co.
CAT,Caterpillar Inc.
CSCO,Cisco Systems
CVX,Chevron
DD,DuPont
DIS,The Walt Disney Co.
GE,General Electric Co.
GS,Goldman Sachs
HD,Home Depot
IBM,IBM
INTC,Intel Corp.
JNJ,Johnson & Johnson Inc.
JPM,JP Morgan Chase & Co.
KO,The Coca-Cola Co.
MCD,McDonald's Corp.
MMM,3M Co.
MRK,Merck & Co.
MSFT,Microsoft
NKE,Nike
PFE,Pfizer Inc.
PG,Procter & Gamble Co.
TRV,Travelers Companies
UNH,UnitedHealth Group Inc.
UTX,United Technologies Corp.
V,Visa Inc.
VZ,Verizon Comms Inc.
WMT,Wal-Mart
XOM,Exxon Mobil Corp.
